연구현황,연구정보,연구의뢰자,연구비지원기관,연구종류,임상시험단계,중재종류,등록번호,연구고유번호,연구대상/질환,등록일,최종갱신일,첫환자등록일자,연구종료일,주요결과변수
모집 중(Recruiting),"제2형 당뇨병 발병 예측 모델 개발을 위한 희소(rare), 기능적(functional) 유전자 변이 규명에 관한 연구 - Development of type 2 diabetes prediction model using rare and functional genetic variants",서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000886,A111218-12-GM09,type 2 diabetes mellitus,2013-10-21,2013-06-03,2012-07-31,2015-03-31,한국인 당뇨병 관련 유전자 변이(rare functional genetic variants of Korean diabetes subjects)
연구종결(Completed),견관절 후방경사 테이핑이 견관절 전방경사에 미치는 영향 - The Effect of Backward-Shoulder-Taping on Forward Shoulder Posture,인제대학교,인제대학교(Inje University),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0000885,PIRB11-036-2,shoulder,2013-10-17,2013-10-15,2012-01-30,2012-06-30,소흉근 길이(pectoralis minor length (PML))
대상자 모집 전(Not yet recruiting),"건강인을 대상으로 상기도감염 예방에 대한 동충하초 추출물의 유효성 및 안전성을 평가하기 위한 12주, 단일기관, 무작위배정, 이중눈가림, 평행설계, 위약대조 인체적용시험 - 12 weeks, single-center, randomized, double-blind, parallel design, placebo-controlled human study to assess the efficacy and safety of Cordyceps militaris Extract on Prevention of Upper Respiratory Tract Infection on healthy people",전북대학교,동아에스티(주)(Dong-A ST),중재연구(Interventional Study),Phase3,식이보충제(Dietary Supplement),KCT0000884,DA-9302-2,건강한 성인,2013-10-15,2013-10-15,2013-09-26,,URI 발생률(The frequency of URI onset )
연구종결(Completed),회전근개 관절경 복원술에 있어서 초음파 유도하 지속적 사각근간 차단술과 방사선조영장치 유도하 지속적 경막외강 제통술의 비교 - Comparison of Efficacy between Ultrasound-guided Continuous Interscalene Block and Fluoroscope-guided Continuous Cervical Epidural Analgesia in Rotator Cuff Repair,중앙대학교병원,중앙대학교(Chung-Ang University),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0000883,C2011060(510),견관절 회전근개 파열,2013-10-15,2016-10-13,2012-01-09,2013-12-25,감각신경차단의 평가(Evaluation of sensory blockade)운동신경차단의 평가(Evaluation of motor blockade)진통 평가(Evaluation of analgesia)호흡기능평가(Evaluation of respiratory function)제통 시술에 대한 환자의 불만도 평가(Evaluation of Patient’s Subjective discomfort on the block procedure )전반적 제통법에대한 환자의 만족도 평가(Evaluation of Patient’s Subjective satisfaction of the overall postoperatieve Analgesia Method)
연구종결(Completed),새집에 이사 후 아토피피부염이 악화된 환자에서 벼 대체작물 kenaf를 이용한 벽지 효과 확인을 위한 연구 - Effects of indoor air pollutant on Atopic Dermatitis,인하대학교의과대학부속병원,환경부(Ministry of Environment),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0000882,10-0311,아토피피부염,2013-10-15,2013-10-14,2010-01-28,2011-01-30,아토피피부염 피부 평가(SCORAD index)(SCORAD index)
연구종결(Completed),"건강한 성인 대상자에서 YH12852 경구 투여 시 안전성, 내약성 및 약동학/약력학적 특성을 평가하기 위한 무작위배정, 이중눈가림, 위약/활성대조, 단회/반복투여, 제1상 임상시험 - A randomized, double-blind, placebo/active-controlled, single/multiple-dose, phase 1 clinical study to investigate the safety/tolerability and pharmacokinetics/pharmacodynamics of YH12852 after oral administration in healthy subjects",인제대학교부산백병원,(주)유한양행(Yuhan),중재연구(Interventional Study),Phase1,의약품(Drug),KCT0000881,13-097,건강한 성인,2013-10-15,2015-05-22,2013-09-02,2015-04-06,"이상반응(the number of adverse event, seriousness of adverse event)활력징후(vital sign)진단검사(laboratory test)신체검사(Physical examinations)심전도 검사(ECG(electrocardiogram) )"
모집 중(Recruiting),의식소실 하 propofol과 병용 투여된 remifentanil이 마취심도감시기(bispectral index)에 미치는 영향 - Effect of remifentanil on the bispectral index in unconscious patients by propofol infusion,가톨릭대학교서울성모병원,"가톨릭대학교서울성모병원(The Catholic University of Korea, Seoul St. Mary's Hospital)",관찰연구(Observational Study),,,KCT0000880,KC13OISI0466,"전신마취예정인 미국마취과학회 신체상태 분류 1,2건강한 성인여자",2013-10-15,2014-06-16,2013-09-06,2014-08-30,BIS 수치(bispetral index value)
모집 중(Recruiting),척수손상 환자에서 동종 인간 신경줄기세포 이식에 의한 세포치료법 확립 - Clinical trial of allogenic human fetal brain-derived neural stem/progenitor cell transplantation in patients with traumatic spinal cord injury,연세대학교의과대학세브란스병원,"보건복지부(Ministry of Health & Welfare)연세대학교의과대학세브란스병원(Yonsei University Health System, Severance Hospital )",중재연구(Interventional Study),해당사항없음(Not applicable),"생물학적제제/백신(Biological/Vaccine), 줄기세포(Stem Cell), 시술/수술(Procedure/Surgery)",KCT0000879,4-2005-0057,외상(trauma)성 완전 혹은 불완전 척수손상,2013-10-11,2015-02-25,2006-06-01,2015-12-31,신경학적 검사(Neurological examination)
모집 중(Recruiting),췌장 또는 췌장주위 종괴에 대한 내시경 초음파 유도하 미세침흡입술시 흡인을 이용 또는 이용하지 않는 경우의 검체 적절도와 진단율을 비교하기 위한 단일기관 전향적 무작위비교 연구 - A prospective randomized comparative study of the difference in cytopathologic diagnosis between EUS-FNA with or without suction in pancreatic and peripancreatic masses,서울아산병원,서울아산병원(Asan Medical Center ),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0000878,2013-0453,Pancreatic Neoplasms Neoplasm of Intra-abdominal Lymph Nodes,2013-10-08,2013-10-07,2013-06-03,2014-05-12,진단율(Diagnostic accuracy)
모집 중(Recruiting),거대총수담관결석치료 있어 오디조임근절개술과 큰풍선확장술 병행과 큰풍선확장술단독간의 효과 및 오디조임근기능평가에 대한 전향적비교 - Endoscopic papillary large balloon dilation with or without small endoscopic sphincterotomy do not preserve sphincter of Oddi function after large bile duct stones management: a prospective randomized study.,건국대학교병원,건국대학교병원(Konkuk University Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0000877,KUH1010472,Choledocholithiais,2013-10-08,2013-10-05,2013-05-01,,두 시술 간에서 시술 후 오디조임근 기능 변화 관찰(Change of sphincter of Oddi funtion after two procedures)결석 제거 성공율(Success rate of common bile duct stones)
연구종결(Completed),"경요도전립선절제술이 혈액응고에 미치는 영향 (회전성 혈전탄성묘사법 이용) - Effect of Transurethral Resection of the Prostate on Blood Coagulation, measured by rotational thromboelastometry (ROTEM?)",분당서울대학교병원,분당서울대학교병원(Seoul National University Bundang Hospital),관찰연구(Observational Study),,,KCT0000876,B-1307-211-001,Trnasurethral prostatectomy,2013-10-08,2015-02-12,2013-09-02,2014-07-31,INTEM 측정 값 (INTEM은 약어가 아닌 검사 항목의 명칭입니다.)(INTEM parameters change)EXTEM 측정 값 (EXTEM은 약어가 아닌 검사 항목의 명칭입니다.)(EXTEM parameters change)FIBTEM 측정 값 (FIBTEM은 약어가 아닌 검사 항목의 명칭입니다.)(FIBTEM parameters change)
모집 중(Recruiting),"골다공증에 대한 리세넥스플러스정의 유효성 및 안전성 평가를 위한 12개월간, 다기관 공동, 무작위배정, 개방형, 활성대조군 비교, 제4상 임상시험 - For 12months, the Multi center, Randomized, Open-label, Active controlled comparative clinical to assess the Efficacy and the Safety of RisenexPlus tablet in patients with Osteoporosis(Phase4)",중앙대학교병원,한림제약 (주)(Hanlim Pharmaceutical),중재연구(Interventional Study),Phase4,의약품(Drug),KCT0000875,HL_RSNP_401,골다공증,2013-10-08,2013-10-01,2011-07-04,2014-06-30,약물 투여 전 대비 투여 후 12개월째 Bone Mineral Density (BMD) 변화량(The change of Bone Mineral Density (BMD) value)
모집 중(Recruiting),"말기 알츠하이머병 환자에서의 도네페질 또는 메만틴 중단에 관한 연구 : 12주간의 다기관, 무작위 배정 연구 - Discontinuation of Donepezil or Memantine in Extremely Severe Alzheimer`s Disease Patients : A 12-Week, Randomized, Multi-center Trial",보바스기념병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),Phase4,의약품(Drug),KCT0000874,2012BHCS-07,알츠하이머병환자 120명,2013-10-08,2013-10-11,2013-02-12,2013-11-01,BPMSE (Baylor profound mental status examination) 점수(BPMSE score)CGI-C (Clinician's global impression of change)점수 (CGI-C score)
모집 중(Recruiting),"조현병 환자에서 유산소 운동의 인지, 정서, 운동 협응 능력에 미치는 효과 - Effect of Aerobic Exercise on Cognition, Emotion and Motor Coordination in patients with psychosis",연세대학교의과대학세브란스정신건강병원,"연세대학교의과대학세브란스정신건강병원(Severance Mental Health Hospital, Yonseity University)",중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0000873,연정임20130702,"Schizophrenia, schizoaffective disorder",2013-10-02,2013-10-01,2013-08-07,2013-12-31,"정신상태 평가: 간편정신상태 평정척도, 우울척도, 물안상태척도(Mental status examination: Brief Psychiatric Rating Scale, Beck's Depression Inventory, State and Trait anxiety Scale)심폐기능: 6분 걷기, 스텝 테스트(Cardiovacular function: 6-minute walk test, step test)공복 시 혈당(Blood fasting glucose)중성지방(Trigyceride level)체중(Body weight)"
모집 중(Recruiting),"ADHD 아동에서 유산소 운동의 인지, 정서 및 운동 협응 능력에 미치는 효과 - Effect of Aerobic Exercise on Cognition, Emotion and Motor Coordination in Children with ADHD",연세대학교의과대학세브란스정신건강병원,"연세대학교의과대학세브란스정신건강병원(Severance Mental Health Hospital, Yonseity University)",중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0000872,연정임130601,주의력결핍과잉행동장애 환아 및 정상아동,2013-10-02,2013-10-02,2013-08-07,,종합 주의력 검사(Comprehensive Attention Test)아동행동평가척도(Child Behavior Check List)부모 양육스트레스 척도(Parent Stress Index)한국청소년 신체활동 설문지(Korean Youth Physical Activity Questionnaire)
연구종결(Completed),TRAM flap 수술을 받는 유방암 환자에서 마취 방법에 따른 수술 후 전율 발생률의 차이-후향적 연구 - The differences in the incidence of shivering in the patients who undergoes TRAM flap operation for breast cancer related to anesthetic technique-retrospective study,서울아산병원,서울아산병원(Asan Medical Center ),관찰연구(Observational Study),,,KCT0000871,2011-0447,postoperative shivering,2013-10-01,2013-10-01,2011-07-11,,수술 후 전율여부(The existence of postoperative shivering)
연구종결(Completed),"질병 활성도가 낮은 류마티스 관절염 환자에서 비스테로이드 항염제 중단에 따른 관절통 증상 변화 및 치료 양상 변화를 평가하기 위한 다기관 공동, 공개 전향적 연구자주도 임상시험 - Non-steroidal anti-inflammatory drug Discontinuation study on Disease stable Rheumatoid arthritis patients",서울대학교병원,보건복지부(Ministry of Health & Welfare),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0000870,ACT_RA_IIT,류마티스 관절염,2013-10-01,2017-02-05,2013-07-30,2015-10-31,비스테로이드 항염증제 복용 중단한 16주 후 비스테로이드 항염증제 비 복용 환자의 비율(Proportion of patients who do not take any type of NSAID(Non-Steroidal Anti-Inflammatory Drugs) during the 16 weeks of study period)
모집 중(Recruiting),십이지장 유두부 종양의 치료에 있어 유도선 안내 유두부 절제술과 전통적인 유두부 절제술간의 전향적 다기관 비교 연구: 시범 연구 - Prospective comparative multicenter study of wire-guided papillectomy vs. conventional papillectomy for tumors of the duodenal major papilla: pilot study,건국대학교병원,건국대학교병원(Konkuk University Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0000869,KUH1010351,"Neoplasm, Ampulla of Vater",2013-10-01,2013-09-30,2012-01-02,,췌관 배액관 성공율(Success rate for insertion of pancreatic stent)종양의 완전 절제율(Complete resection rate)
모집 중(Recruiting),대장내시경 검사에서 장정결제 비교연구 : 인산나트륨정제와 폴리에틸렌글리콜 4리터 - Comparison on bowel preparation regimen : Sodium phosphate tablet versus Polyethylene glycol 4L,아주대학교병원,아주대학교병원(Ajou University Hospital ),중재연구(Interventional Study),해당사항없음(Not applicable),의약품(Drug),KCT0000868,AJIRB-MED-CT4-13-172,"Colonoscopy, Bowel preparation, Sodium phosphate, Polyethylene glycol",2013-10-01,2013-09-27,2013-08-23,2013-12-20,"전해질, 크레아틴(Electrolyte, Creatinine)"
대상자 모집 전(Not yet recruiting),"간기능 개선에 미치는 백년초 열매추출물의 유효성 및 안전성을 평가하기 위한 12주, 다기관, 무작위배정, 이중맹검, 위약대조 임상시험 - A 12 week, multi-center, double-blind, randomized, placebo-controlled clinical trial for the evaluation of the efficacy and safety of opuntia ficus-indica extract on improving liver funtion.",학교법인인제학원인제대학교부속서울백병원,(주)엘컴사이언스(Elcomscience),중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0000867,SIT-2013-145,비만인,2013-10-01,2013-10-01,2013-10-07,2014-07-18,AST의 변화(Change of serum AST)
연구종결(Completed),주기성 쿠싱 증후군 증례 발표 및 쿠싱 증후군 선별검사로서의 아침 첫 소변 코르티솔/크레아티닌 비율 - A Case of Cyclic Cushing’s Syndrome and Morning Urine Free Cortisol to Creatinine Ratio as a Screening Test for Cushing’s Syndrome,학교법인가톨릭대학교대전성모병원,"학교법인가톨릭대학교대전성모병원(The Catholic University of Korea, Daejeon St. Mary's Hospital)",관찰연구(Observational Study),,,KCT0000866,DC10TISI0076,"특정질환이 있는 환자가 아닌, 연구에 대한 설명을 듣고 동의한 사람 대상.",2013-09-30,2013-10-01,2010-11-22,2012-07-09,아침 첫 소변 코르티솔/크레아티닌 비율과 24시간 소변 유리 코르티솔의 상관관계(correlation of urine free cortisol to creatinine ratio and 24hr urine free cortisol)
연구종결(Completed),케타민(NMDA 수용체 길항제)의 단기간의 항우울 효과에 대한 예비연구 - Preliminary study on the rapid antidepressant effect of Ketamine (NMAD receptor antagonist),아주대학교병원,아주대학교병원(Ajou University Hospital ),관찰연구(Observational Study),,,KCT0000865,AJIRB-MED-SUR-12-232,Pain disorder,2013-09-30,2013-09-27,2013-01-03,2013-01-11,Beck depression inventory(Beck depression inventory )
모집 중(Recruiting),아밀로이드증의 조기진단과 예후인자 발굴을 위한 연구 - Prospective and retrospective analysis of amyloidosis patients : Early diagnosis and prognosis factor of amyloidosis,성균관대학교,질병관리본부(Korea Centers for Disease Control and Prevention),관찰연구(Observational Study),,,KCT0000864,2013-04-087,,2013-09-30,2013-08-30,2013-06-24,2013-12-15,사망율(motality at anytime)
모집 중(Recruiting),급성심근경색증 환자 예후 및 관리지표발굴을 위한 전향적 추적관찰연구 - Prospective Cohort Study for Acute Myocardial Infarction Prognostic and Surveillance Index,전남대학교병원,질병관리본부(Korea Centers for Disease Control and Prevention),관찰연구(Observational Study),,,KCT0000863,CNUH-2011-172,Acute myocardial infarction,2013-09-30,2013-09-25,2011-11-05,2019-12-30,사망율 ( mortality )합병증 발생(incidence of complication)
연구종결(Completed),허혈성 뇌졸중에서 Osteoprotegrin의 양상 - Osteoprotegrin in ischemic stroke,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000862,4-2011-0487,cerebral infarction,2013-09-27,2013-09-27,2011-09-29,,혈전용해시술에 대한 반응(response to thrombolysis)
연구종결(Completed),신장이식환자와 말기신부전 환자에서 발생하는 허혈성 뇌졸중의 비교분석 - The comparative analysis of ischemic stroke between renal transplant recipients and end stage renal disease patients,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000861,4-2012-0270,cerebral infarction,2013-09-27,2013-09-27,2012-06-14,,TOAST (Trial of Org 10172 in Acute Stroke Treatment) 분류(TOAST (Trial of Org 10172 in Acute Stroke Treatment) classification )
"모집추가없이 진행중(Active, not recruiting)",급성기 뇌경색 환자의 재관류 치료 중 동맥내 혈전용해술와 기계적 혈전제거술의 비교 - Comparison of Stent retriever and Intra-arterial fibrinolysis in patients with acute ischemic stroke,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000860,4-2013-0462,cerebral infarction,2013-09-27,2013-09-27,2013-09-03,,modified Rankin Scale(modified Rankin Scale)
연구종결(Completed),심방세동환자에서 적절한 항응고요법에서도 발생한 뇌경색의 위험인자 연구 - Determinants for ischemic stroke in patients with atrial fibrillation without mechanical valve during therapeutic oral antiocoagulation,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000859,4-2012-0233,cerebral infarction,2013-09-27,2013-09-27,2012-05-31,,관련된 위험인자(associtated risk factors)
모집 중(Recruiting),뇌졸중 환자의 장기적예후 - Long-term prognosis in stroke patients,연세대학교의과대학세브란스병원,"연세대학교의과대학세브란스병원(Yonsei University Health System, Severance Hospital )",관찰연구(Observational Study),,,KCT0000858,4-2011-0731,stroke,2013-09-27,2013-09-27,2011-12-29,,뇌졸중 환자의 예후(prognosis of stroke patients)
연구종결(Completed),허혈성 뇌경색 환자에서의 심혈관계 사망 및 모든 원인의 사망에 관한 연구 - Long-term mortality in patients with coexisting potential causes of ischemic stroke,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000857,4-2012-0620,cerebral infarction,2013-09-27,2013-09-27,2012-10-23,,사망(death)
"모집추가없이 진행중(Active, not recruiting)",뇌내 미세출혈과 뇌혈관질환의 위험인자와의 관계 - The relationship of cerebral microbleed and cerebrovascular risk factors,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000856,4-2012-0725,cerebral infarction,2013-09-27,2013-09-27,2012-11-29,,미세출혈에 영향을 미치는 혈액학적 인자들( factors which associated with microbleed)
"모집추가없이 진행중(Active, not recruiting)",동맥 내 혈전 용해술 시행 급성 뇌경색 환자에서 Alberta stroke program early CT score에 따른 재개통의 상이한 효과 - Different effect of recanalization according to the baseline Alberta Stroke Program Early CT Score in intra-arterial therapy of acute ischemic strokes,연세대학교의과대학세브란스병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000855,4-2013-0001,cerebral infarction,2013-09-27,2013-09-27,2013-03-04,,재계통 여부 (recanalization)
연구종결(Completed),"한방 난임 치료 예비 임상연구 : 조경조옥탕가감방, 수태환가감방, 침구 치료의 효과 분석 - The pilot project for infertility treatment using Korean Medicine: The efficacy of Jokyungjongoktang-gagambang(JKJOT-GGB), Sutaehwan-gagambang(STH-GGB), acupuncture and moxibustion treatment.",동국대학교일산불교한방병원,경기도보건복지국(Gyeonggi-province Health Care Foundation),중재연구(Interventional Study),Phase4,"의약품(Drug), 의료기구(Medical Device)",KCT0000854,SR-24,Infertility,2013-09-27,2013-09-27,2011-09-02,,임신율 (Pregnancy rate )생아출산율(Live birth rate)
연구종결(Completed),"수술적 절제가 불가능한 악성 위출구부 폐쇄증 환자에서 비피막형 D형 스텐트와 피막형 ComVi 스텐트의 유효성 및 안전성 평가를 위한 다기관 공동, 무작위 배정, 단일 맹검 임상 연구 - Comparison trial of uncovered D-type stent and covered ComVi stent in patients with unresectable malignant gastric outlet obstruction. (Randomized controlled single blind multi-center trial)",아주대학교병원,아주대학교(Ajou University),중재연구(Interventional Study),Phase4,"의료기구(Medical Device), 시술/수술(Procedure/Surgery)",KCT0000853,AJIRB-DEV-DE4-10-009,"stomach cancer, duodenal cancer, gallbladder cancer, pancreatic cancer, ampullary cancer, and bile duct cancer",2013-09-26,2013-09-17,2009-03-13,2012-07-27,재시술율(the rate of reintervention)
연구종결(Completed),대사와 수송체가 상호작용하는 모델 약물인 에스시탈로프람의 약동학시험 - Phamacokinetics of Escitalopram as a drug metabolism and transporter interaction model,아주대학교병원,전남대학교병원(Chonnam National University Hospital),중재연구(Interventional Study),Phase1,의약품(Drug),KCT0000852,AJIRB-GEN-CT1-11-279,"Healthy volunteer, major depressive disorder",2013-09-26,2013-09-25,2011-11-26,2011-12-23,"최고 혈중 농도, (Cmax)"
모집 중(Recruiting),급성기 허혈성 뇌졸중에서 심방세동에 대한 발병전 인지 및 항혈전제 사용-다기관 병원기반 레지스트리 자료 - Pre-stroke awareness and antithrombotic use for atrial fibrillation in patients with acute ischemic stroke - Data from a multicenter hospital-based registry,분당서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000851,B-1306-206-103,"Cerebral ischemia, atrial fibrillation",2013-09-25,2013-09-16,2013-06-10,2013-12-31,"뇌졸중 발병 전 심방세동에 대한 인지율(Proportion of pre-stroke awareness for atrial fibrillation)뇌졸중 발병전 CHADS2 점수에 따른 적절한 항혈전제 사용 비율(Proportio of the appropriate antithrombotics for stroke)입원 시 NIHSS 점수 및 3개월 후 mRS(NIHSS at admission, mRS after 3 month)"
모집 중(Recruiting),Helicobacter pylori 제균치료에서 표준 삼제요법과 Korean propolis의 병합 치료 - Effects of Korean propolis on standard triple therapy for Helicobacter pylori eradication,강릉아산병원,강릉아산병원(GangNeung Asan Hospital ),중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0000850,2013-047,"1. Peptic ulcer 2. Lymphoma, B-Cell, Marginal Zone 3. Stomach Neoplasms",2013-09-17,2014-01-15,2013-09-23,2014-06-30,제균율(eradication rate)
모집 중(Recruiting),전문심폐소생술시 적절한 순환유지 제공에 관한 임상 연구: 지속적인 흉부압박 중 기관삽관시 videolaryngoscope의 유용성 (매킨토시 후두경과의 비교 연구) - The clinical study of delivery correct circulation during advanced cardiopulmonary resuscitation (ACLS): : The efficacy of video-laryngoscope for endotracheal intubation during uninterrupted chest compression (comparison with classical macintosh laryngoscope),건국대학교병원,건국대학교병원(Konkuk University Medical Center),중재연구(Interventional Study),해당사항없음(Not applicable),시술/수술(Procedure/Surgery),KCT0000849,KUH1260009,병원전 심정지 (Out-of Hospital Cardiac Arrest),2013-09-17,2015-12-23,2011-04-01,2015-05-30,성공적인 첫번째 기도 삽관 ( First successful endotracheal intubation ) 환자의 자발순환 (Recovery of spontaneous circulation )생존 퇴원(Survival Discharge )
연구종결(Completed),Midazolam의 수면 유도 시간과 GABAA receptor α1/α3 s ubunit polymorphism의 연관성 - Association between GABA-A Receptor α1/α3 s ubunit polymorphism and sleep induction time of midazolam,고려대학교,고려대의과대학부속병원(Korea University Anam Hospital),관찰연구(Observational Study),,,KCT0000848,AN-11137-002,전신 마취를 시행하는 환자,2013-09-16,2013-09-12,2011-08-01,2012-07-20,GABA-A 수용체의 유전자 변이(GABA-A receptor genetic polymorphism)
모집 중(Recruiting),초로기발생 알츠하이머치매의 원인인자 발굴과 바이오마커 개발을 위한 혈액 및 뇌척수액 분석 연구 - The study analyzing blood and cerebrospinal fluids from the patients with early onset Alzheimer disease to discover causative factors and biomarkers,순천향대학교,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000847,SCHBC_IRB_2012-124,"65세 이전 발병 알츠하이머병은 전체 알츠하이머병의 10%를 차지하는데, 이 중 1차 혈연관계에 알츠하이머병을 가지는 초로기발병 가족형 알츠하이머병 환자는 약 10% 로 전체 알츠하이머병의 1% 정도 차이할 정도로 드물다.",2013-09-16,2015-02-13,2013-02-11,,AD/MCI 유 - 무 혹은 병의 예후를 예측하는 데의 유용성(The validity of genetic or protein markers in predicting AD development or its prognosis.)
대상자 모집 전(Not yet recruiting),"공복 혈당이 높은 자 또는 내당능 장애자에서 모시주정추출물의 유효성 및 안전성을 평가하기 위한 12주, 무작위배정, 이중맹검, 위약대조 임상시험 - A 12week, double-blind, randomized, placebo-controlled clinical trial for the evaluation of the efficacy and safety of Boehmeria nivea extract on improving blood glucose.",한림대학교성심병원,한산태모시영농조합법인(Hansan Ramie Agricultural Cooperative),중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0000846,2013-S036,Subjects having fasting glucose > 100mg/dl or glucose intolerance,2013-09-13,2013-09-10,2013-09-16,,"공복 혈당(Fasting blood glucose)식후 2시간 혈당(OGTT)(2 hours postprandial blood glucose (OGTT))경구 내당능 검사(OGTT, AUC(0~2hr))(OGTT, AUC(0~2hr))HbA1c(HbA1c)Insulin(Insulin)C-peptide(C-peptide)HOMA-IR, HOMA-beta, QUICKI, Matsuda index(HOMA-IR, HOMA-beta, QUICKI, Matsuda index)"
연구종결(Completed),생체 간이식 공여자의 간절제수술에서 고 일회박출량 변이 유지법이 수술 중 출혈에 미치는 영향 - Effect of high stroke volume variation maintenance on blood loss during living donor hepatectomy,서울아산병원,서울아산병원(Asan Medical Center ),중재연구(Interventional Study),해당사항없음(Not applicable),기타(Others),KCT0000845,2013-0814,"living donors, hepatectomy, liver transplantation, blood loss",2013-09-12,2014-08-01,2013-09-13,,실혈양(blood loss)일회박출량 변이(stroke volume variation )
연구종결(Completed),췌장암 환자에서 경추간판 복강신경총 차단술을 위한 CT simulation study - CT simulation study of the transdiscal approach of transcrural celiac plexus block,서울아산병원,서울아산병원(Asan Medical Center ),관찰연구(Observational Study),,,KCT0000844,2013-0479,pancreatic cancer,2013-09-12,2013-09-10,2013-06-03,,시술 성공률(success rate of procedure)
모집 중(Recruiting),급성 허혈성 뇌졸중에서 비공복 중성지방과 동맥경화성 뇌경색 및 열공성 뇌경색의 관계 - Association of Non-fasting triglyceride with Symptomatic Atherosclerosis and Lacunar Infarction in Patients with Acute Ischemic Stroke,분당서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000843,B-1210-174-107,"cerebral ischemia, mechanism, etiology",2013-09-10,2013-09-26,2012-10-22,2014-10-10,비공복 중성지방수치(non-fastin triglyceride level)
모집 중(Recruiting),경한증상을보이는초급성허혈성뇌졸중환자에서정맥내혈전용해술의효과에관한연구 - Effectiveness of intravenous thrombolysis in patients with mild stroke symptoms,분당서울대학교병원,보건복지부(Ministry of Health & Welfare),관찰연구(Observational Study),,,KCT0000842,B-1302-190-105,acute ischemic stroke,2013-09-10,2013-09-26,2013-02-06,2014-02-28,3개월 수정된 랭킨 척도 0-1인 환자 비율(proportion of 0-1 of 3 month modified Rankin Scale)
연구종결(Completed),목움직임이 제한된 환자에서 optisope?비디오 연성삽관용 후두경을 이용한 기관내 삽관 - Tracheal intubation using the optiscope video system in patients with simulated restricted neck mobility,서울아산병원,서울아산병원(Asan Medical Center ),관찰연구(Observational Study),,,KCT0000841,2010-0765,전신마취가 예정된 ASA I또는 II의 성인 남녀로 특정 대상질환은 해당이 없음,2013-09-09,2015-04-17,2012-05-14,2013-10-31,삽관 환경(condition of intubation)삽관 시도 횟수 및 시간( time and numbers of intubation attempts)
모집 중(Recruiting),과체중 혹은 비만인에서 “홍국균 발효 검정콩 분말”복용의 체중감량 기능성 및 안전성을 평가하기 위한 비교 인체적용시험 - The clinical study for the evaluation of the efficacy and safety of Monascus-fermentation (Monascus-fermented black bean) on reducing body weight of overweight or obese subjects,학교법인인제학원인제대학교부속서울백병원,"농림수산식품부(Ministry for Food, Agriculture, Forestry and Fisheries)",중재연구(Interventional Study),해당사항없음(Not applicable),식이보충제(Dietary Supplement),KCT0000840,SIT-2013-222,비만인,2013-09-09,2013-09-06,2013-08-01,,체중 (Body weight )
연구종결(Completed),"뇌 컴퓨터 인터페이스 기반 기능적 전기자극이 뇌졸중 환자의 균형, 보행 및 뇌파변화에 미치는 영향 - The Effect of BCI based FES Training on Balance, Gait, and Brain Activation for Patient with Stroke",삼육대학교,삼육대학교(Sahmyook University),중재연구(Interventional Study),해당사항없음(Not applicable),행동요인(Behavioral),KCT0000839,SYUIRB2012-022,뇌졸중,2013-09-09,2013-09-06,2012-06-18,2012-07-27,균형(Balance)
